street_name,city,state,country
Chinook,Norfolk,Virginia,United States
Anhalt,Lincoln,Nebraska,United States
Talmadge,Lansing,Michigan,United States
Pine View,Paterson,New Jersey,United States
Carioca,Peoria,Illinois,United States
Muir,Ridgely,Maryland,United States
Gale,Orlando,Florida,United States
Holmberg,Hartford,Connecticut,United States
Saint Paul,Erie,Pennsylvania,United States
Vernon,Des Moines,Iowa,United States
Prairie Rose,Columbia,Missouri,United States
Montana,Fort Lauderdale,Florida,United States
Fordem,Dallas,Texas,United States
Ronald Regan,Littleton,Colorado,United States
Hintze,Wilkes Barre,Pennsylvania,United States
Rieder,New York City,New York,United States
Arkansas,Kansas City,Missouri,United States
Shelley,Boise,Idaho,United States
Petterle,San Mateo,California,United States
Di Loreto,Columbus,Ohio,United States
Ruskin,Huntington,West Virginia,United States
Stone Corner,Hartford,Connecticut,United States
International,Corpus Christi,Texas,United States
Rockefeller,Louisville,Kentucky,United States
Oak,Columbus,Georgia,United States
Kingsford,Columbus,Ohio,United States
Continental,Garland,Texas,United States
Quincy,Oakland,California,United States
Nova,Fort Worth,Texas,United States
Crowley,San Jose,California,United States
Russell,Lima,Ohio,United States
Orin,Miami,Florida,United States
Hermina,Houston,Texas,United States
Acker,Inglewood,California,United States
Thierer,Des Moines,Iowa,United States
Erie,Lehigh Acres,Florida,United States
Dorton,Alexandria,Virginia,United States
Thompson,Stockton,California,United States
Hauk,Louisville,Kentucky,United States
Morning,Sacramento,California,United States
Helena,Roanoke,Virginia,United States
Wayridge,Phoenix,Arizona,United States
Wayridge,Boulder,Colorado,United States
Cherokee,Chattanooga,Tennessee,United States
Lillian,Saint Louis,Missouri,United States
Bashford,Mc Keesport,Pennsylvania,United States
Badeau,Washington,District of Columbia,United States
Golf,Lubbock,Texas,United States
Rutledge,Salt Lake City,Utah,United States
Melvin,Richmond,Virginia,United States
8th,Memphis,Tennessee,United States
Colorado,Los Angeles,California,United States
Harper,Macon,Georgia,United States
Main,Tampa,Florida,United States
Dexter,Norwalk,Connecticut,United States
Beilfuss,New York City,New York,United States
Surrey,Oakland,California,United States
Sherman,Largo,Florida,United States
Arizona,Houston,Texas,United States
Roth,Brooklyn,New York,United States
Carberry,Detroit,Michigan,United States
Macpherson,Dallas,Texas,United States
Aberg,Detroit,Michigan,United States
Redwing,Indianapolis,Indiana,United States
Continental,Atlanta,Georgia,United States
Spohn,New Brunswick,New Jersey,United States
Sherman,Shawnee Mission,Kansas,United States
Division,Philadelphia,Pennsylvania,United States
Bonner,Topeka,Kansas,United States
Northview,Sarasota,Florida,United States
Dorton,Kansas City,Missouri,United States
Elgar,Lexington,Kentucky,United States
Artisan,Knoxville,Tennessee,United States
Mifflin,Omaha,Nebraska,United States
Quincy,Dearborn,Michigan,United States
Miller,Boston,Massachusetts,United States
La Follette,Sacramento,California,United States
Esch,Portsmouth,New Hampshire,United States
Rigney,Tulsa,Oklahoma,United States
Westridge,Appleton,Wisconsin,United States
Grayhawk,Salt Lake City,Utah,United States
Petterle,Atlanta,Georgia,United States
Wayridge,Saint Paul,Minnesota,United States
Gateway,Virginia Beach,Virginia,United States
Sage,Milwaukee,Wisconsin,United States
Michigan,Virginia Beach,Virginia,United States
Meadow Valley,Denton,Texas,United States
Utah,Colorado Springs,Colorado,United States
Pennsylvania,Terre Haute,Indiana,United States
Village Green,Boston,Massachusetts,United States
Scoville,Schaumburg,Illinois,United States
Sachtjen,Oklahoma City,Oklahoma,United States
Bayside,Denver,Colorado,United States
Fulton,New Haven,Connecticut,United States
Birchwood,Greensboro,North Carolina,United States
Shoshone,Chattanooga,Tennessee,United States
Stone Corner,Charleston,West Virginia,United States
Laurel,Salt Lake City,Utah,United States
Rieder,Tulsa,Oklahoma,United States
Hauk,Huntington,West Virginia,United States
